fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
0.819,10000,10,1,plurality,0.0,2,2
0.945,10000,10,1,majority,0.0,2,2
0.959,10000,10,1,plurality,0.0,2,2
1.029,10000,10,1,majority,0.0,2,2
0.883,10000,10,1,plurality,0.0,2,2
0.919,10000,10,1,majority,0.0,2,2
1.029,10000,10,1,plurality,0.0,2,2
0.823,10000,10,1,majority,0.0,2,2
1.006,10000,10,1,plurality,0.0,2,2
0.85,10000,10,1,majority,0.0,2,2
0.98,10000,10,1,plurality,0.0,2,2
1.127,10000,10,1,majority,0.0,2,2
0.889,10000,10,1,plurality,0.0,2,2
0.989,10000,10,1,majority,0.0,2,2
0.881,10000,10,1,plurality,0.0,2,2
0.971,10000,10,1,majority,0.0,2,2
0.97,10000,10,1,plurality,0.0,2,2
0.94,10000,10,1,majority,0.0,2,2
1.096,10000,10,1,plurality,0.0,2,2
0.837,10000,10,1,majority,0.0,2,2
0.837,10000,10,1,plurality,0.0,2,2
0.805,10000,10,1,majority,0.0,2,2
0.979,10000,10,1,plurality,0.0,2,2
0.852,10000,10,1,majority,0.0,2,2
0.824,10000,10,1,plurality,0.0,2,2
0.815,10000,10,1,majority,0.0,2,2
0.917,10000,10,1,plurality,0.0,2,2
0.831,10000,10,1,majority,0.0,2,2
0.886,10000,10,1,plurality,0.0,2,2
0.845,10000,10,1,majority,0.0,2,2
0.91,10000,10,1,plurality,0.0,2,2
0.948,10000,10,1,majority,0.0,2,2
0.837,10000,10,1,plurality,0.0,2,2
0.911,10000,10,1,majority,0.0,2,2
0.954,10000,10,1,plurality,0.0,2,2
0.98,10000,10,1,majority,0.0,2,2
0.794,10000,10,1,plurality,0.0,2,2
0.875,10000,10,1,majority,0.0,2,2
0.928,10000,10,1,plurality,0.0,2,2
0.994,10000,10,1,majority,0.0,2,2
0.941,10000,10,1,plurality,0.0,2,2
0.871,10000,10,1,majority,0.0,2,2
0.843,10000,10,1,plurality,0.0,2,2
0.865,10000,10,1,majority,0.0,2,2
0.87,10000,10,1,plurality,0.0,2,2
0.907,10000,10,1,majority,0.0,2,2
0.912,10000,10,1,plurality,0.0,2,2
0.984,10000,10,1,majority,0.0,2,2
0.874,10000,10,1,plurality,0.0,2,2
0.847,10000,10,1,majority,0.0,2,2
1.093,10000,10,1,plurality,0.0,2,2
0.925,10000,10,1,majority,0.0,2,2
0.967,10000,10,1,plurality,0.0,2,2
0.857,10000,10,1,majority,0.0,2,2
0.856,10000,10,1,plurality,0.0,2,2
0.856,10000,10,1,majority,0.0,2,2
1.052,10000,10,1,plurality,0.0,2,2
0.847,10000,10,1,majority,0.0,2,2
0.852,10000,10,1,plurality,0.0,2,2
1.0,10000,10,1,majority,0.0,2,2
0.935,10000,10,1,plurality,0.0,2,2
0.856,10000,10,1,majority,0.0,2,2
0.86,10000,10,1,plurality,0.0,2,2
0.966,10000,10,1,majority,0.0,2,2
0.86,10000,10,1,plurality,0.0,2,2
0.949,10000,10,1,majority,0.0,2,2
0.999,10000,10,1,plurality,0.0,2,2
0.896,10000,10,1,majority,0.0,2,2
0.885,10000,10,1,plurality,0.0,2,2
0.86,10000,10,1,majority,0.0,2,2
0.987,10000,10,1,plurality,0.0,2,2
0.859,10000,10,1,majority,0.0,2,2
0.963,10000,10,1,plurality,0.0,2,2
0.865,10000,10,1,majority,0.0,2,2
0.999,10000,10,1,plurality,0.0,2,2
0.968,10000,10,1,majority,0.0,2,2
0.844,10000,10,1,plurality,0.0,2,2
0.908,10000,10,1,majority,0.0,2,2
1.068,10000,10,1,plurality,0.0,2,2
1.096,10000,10,1,majority,0.0,2,2
0.897,10000,10,1,plurality,0.0,2,2
0.806,10000,10,1,majority,0.0,2,2
0.997,10000,10,1,plurality,0.0,2,2
0.85,10000,10,1,majority,0.0,2,2
0.931,10000,10,1,plurality,0.0,2,2
0.92,10000,10,1,majority,0.0,2,2
1.0,10000,10,1,plurality,0.0,2,2
0.9,10000,10,1,majority,0.0,2,2
0.93,10000,10,1,plurality,0.0,2,2
0.969,10000,10,1,majority,0.0,2,2
0.813,10000,10,1,plurality,0.0,2,2
0.822,10000,10,1,majority,0.0,2,2
0.826,10000,10,1,plurality,0.0,2,2
0.94,10000,10,1,majority,0.0,2,2
0.971,10000,10,1,plurality,0.0,2,2
0.896,10000,10,1,majority,0.0,2,2
0.827,10000,10,1,plurality,0.0,2,2
0.96,10000,10,1,majority,0.0,2,2
0.919,10000,10,1,plurality,0.0,2,2
0.858,10000,10,1,majority,0.0,2,2
0.829,10000,10,1,plurality,0.0,2,2
0.96,10000,10,1,majority,0.0,2,2
0.808,10000,10,1,plurality,0.0,2,2
0.89,10000,10,1,majority,0.0,2,2
0.892,10000,10,1,plurality,0.0,2,2
0.839,10000,10,1,majority,0.0,2,2
0.846,10000,10,1,plurality,0.0,2,2
0.959,10000,10,1,majority,0.0,2,2
0.882,10000,10,1,plurality,0.0,2,2
0.942,10000,10,1,majority,0.0,2,2
0.954,10000,10,1,plurality,0.0,2,2
0.945,10000,10,1,majority,0.0,2,2
